time (s)	magX	magY	magZ
4980.894762	-4.414379	-196.427231	52.312683
4980.898092	-4.297489	-196.719467	52.078903
4980.901421	-4.940388	-197.537689	52.780243
4980.904762	-4.239040	-198.706604	53.247810
4980.908095	-4.180595	-200.109299	54.066040
4980.911424	-4.472824	-200.576859	54.942719
4980.914757	-3.888371	-201.161316	55.702515
4980.918097	-4.297489	-201.570419	55.351845
4980.921439	-3.771481	-202.563995	57.280533
4980.924757	-4.005260	-204.434250	57.105202
4980.928096	-3.829926	-204.317368	58.624779
4980.931419	-4.239040	-204.901810	58.157219
4980.935677	-4.180595	-207.590302	60.085907
4980.939029	-4.239040	-208.350098	61.371712
4980.942276	-4.706604	-208.466995	60.611923
4980.945617	-4.180595	-209.869675	62.365280
4980.948514	-4.472824	-211.623032	62.715950
4980.951847	-4.239040	-212.032135	63.826416
4980.955178	-4.239040	-213.785522	64.001747
4980.958523	-4.239040	-213.960846	64.352425
4980.961423	-4.531269	-215.947998	66.105782
4980.964761	-4.589714	-217.292221	66.281120
4980.968086	-5.115723	-217.584457	66.748688
4980.971482	-4.297489	-218.636475	68.034485
4980.974761	-4.531269	-220.798950	68.969604
4980.978083	-4.765049	-221.500290	70.313850
4980.981419	-4.998833	-223.662766	71.365860
4980.984752	-5.641731	-225.065460	72.359436
4980.988081	-4.940388	-226.351242	74.288132
4980.991415	-5.466393	-228.046158	75.632378
4980.994777	-5.407948	-230.091766	76.567497
4980.998085	-5.524837	-232.663361	78.496201
4981.001421	-5.291058	-234.416702	80.658676
4981.004748	-5.875511	-236.228531	82.704262
4981.008082	-5.875511	-237.806549	84.516068
4981.011410	-6.167736	-240.904144	86.269432
4981.014746	-5.583286	-243.008194	89.717705
4981.018078	-6.284630	-244.995316	92.172417
4981.021411	-6.167736	-247.566925	94.977791
4981.024747	-6.576855	-250.196976	97.023376
4981.028085	-6.226185	-252.476318	99.711868
4981.031450	-6.693745	-255.690826	102.575684
4981.036022	-6.518410	-261.243134	110.348923
4981.038960	-6.635300	-263.814728	112.862061
4981.042248	-7.278198	-265.918762	116.427231
4981.045612	-6.927528	-269.717682	118.648148
4981.048950	-7.044418	-272.523071	122.563995
4981.051860	-6.693745	-274.276428	125.895386
4981.055205	-6.693745	-277.432495	129.460541
4981.058514	-7.219753	-280.705414	133.551727
4981.061837	-7.804211	-283.101685	136.181763
4981.064737	-7.804211	-285.790192	140.272934
4981.068105	-7.453537	-289.296875	144.422562
4981.071412	-7.862656	-291.517822	147.169495
4981.074740	-7.687321	-295.667419	151.377548
4981.078070	-8.330219	-297.479248	155.351837
4981.081413	-8.213329	-300.985962	159.618347
4981.084736	-8.622444	-303.265320	164.644653
4981.088076	-8.680889	-307.707184	168.034470
4981.091410	-9.090008	-311.096985	172.710114
4981.094736	-9.323788	-313.843933	176.509048
4981.098075	-9.791351	-316.707764	181.944473
4981.101406	-9.791351	-320.448273	185.568069
4981.104737	-10.375805	-323.428986	190.419067
4981.108076	-10.025131	-326.935699	195.737579
4981.111431	-10.492695	-330.150208	202.517227
4981.114741	-11.661602	-333.598480	206.842194
4981.118066	-11.661602	-337.105194	212.160706
4981.121401	-12.362946	-340.494995	219.232605
4981.124750	-12.538280	-344.235504	225.018692
4981.128069	-12.596729	-348.209808	232.558167
4981.131402	-12.772064	-351.658081	239.922272
4981.136047	-13.999416	-359.957336	254.475159
4981.138930	-13.356518	-363.697845	262.423737
4981.142332	-14.642315	-367.964325	272.768555
4981.145697	-14.525425	-371.529510	281.126251
4981.148574	-14.992985	-374.919342	291.354187
4981.151819	-14.817650	-379.945618	301.582092
4981.155195	-15.343658	-383.803040	311.810059
4981.158494	-15.285213	-387.835754	320.226166
4981.161816	-16.220337	-391.167145	331.798370
4981.164727	-16.454121	-393.621857	343.136780
4981.168068	-16.512566	-399.641724	354.182953
4981.171404	-16.629456	-401.862640	366.982452
4981.174728	-16.746346	-406.538269	377.911774
4981.178066	-17.506138	-408.992981	390.711273
4981.181400	-18.265926	-413.376404	402.341888
4981.184731	-17.623028	-416.532440	415.141449
4981.188066	-18.032143	-418.636444	428.233215
4981.191397	-17.739922	-422.376923	441.850952
4981.194745	-18.675045	-425.474579	455.527161
4981.198100	-19.493279	-427.578613	469.261841
4981.201394	-19.259499	-431.085327	482.996460
4981.204729	-20.136177	-433.364685	495.912903
4981.208059	-20.603737	-434.007568	510.056702
4981.211412	-20.954411	-436.696075	525.603149
4981.214725	-22.240215	-438.624786	539.396240
4981.218064	-21.947983	-439.676788	553.481567
4981.221395	-23.175339	-441.956146	569.378723
4981.224732	-23.818233	-442.891296	584.574524
4981.228062	-24.227356	-444.469269	597.724731
4981.231397	-25.045589	-444.060211	614.557007
4981.236093	-27.032730	-444.936859	645.474609
4981.238978	-28.143188	-443.651062	662.306824
4981.242350	-28.376972	-442.891296	677.561035
4981.245589	-28.786091	-441.488556	692.698425
4981.248906	-29.370544	-440.553436	711.225586
4981.251812	-30.364117	-438.741669	726.772095
4981.255163	-30.539452	-435.118011	744.364136
4981.258475	-31.416134	-432.371124	764.001770
4981.261809	-32.059032	-428.338409	779.840454
4981.264720	-32.234371	-424.656311	798.601379
4981.268055	-32.526592	-420.097595	816.427185
4981.271384	-32.585041	-414.545258	833.727051
4981.274724	-33.052601	-408.174744	850.617737
4981.278079	-32.526592	-402.096436	868.209778
4981.281389	-32.760372	-394.147858	886.561646
4981.284719	-32.760372	-387.251312	902.400330
4981.288052	-32.760372	-378.250702	921.453552
4981.291389	-32.234371	-368.607239	937.175354
4981.294715	-32.409702	-357.677948	953.072510
4981.298085	-32.117481	-347.216248	970.021606
4981.301383	-31.942142	-335.644043	983.873108
4981.304725	-31.182354	-324.130310	995.386963
4981.308047	-31.416134	-310.220337	1011.926880
4981.311389	-30.948574	-297.596130	1021.745728
4981.314718	-29.779659	-284.270599	1035.831177
4981.318048	-29.312096	-270.185242	1044.890137
4981.321387	-28.902981	-254.755692	1058.157227
4981.324718	-28.552311	-240.027466	1066.982422
4981.328046	-27.909409	-225.065460	1072.125732
4981.331380	-27.558735	-208.233200	1080.483276
4981.334719	-27.792519	-191.926941	1087.672119
4981.338984	-26.331387	-158.963760	1094.393311
4981.342255	-26.623611	-142.482178	1098.952026
4981.345555	-25.922268	-124.890121	1099.711914
4981.348891	-26.623611	-107.531853	1102.049683
4981.351808	-25.630043	-90.465813	1105.147339
4981.355150	-25.746933	-72.464645	1102.867920
4981.358488	-25.571594	-54.814144	1101.172974
4981.361821	-25.279369	-37.280537	1098.659912
4981.364714	-25.337814	-19.805378	1097.374023
4981.368065	-24.987141	-0.752192	1092.172363
4981.371425	-24.928699	16.372295	1088.899414
4981.374715	-24.461136	33.905903	1083.873169
4981.378045	-24.578026	52.023964	1077.911743
4981.381379	-24.344246	69.849792	1068.443604
4981.384744	-23.409122	88.435410	1062.949707
4981.388048	-22.941559	105.384567	1054.358276
4981.391378	-22.298656	123.561081	1044.013428
4981.394714	-21.305088	141.094681	1035.012817
