time (s)	det(V)
5199.996333	0.063387	
5199.997886	0.081760	
5199.999590	0.065489	
5200.001157	0.082614	
5200.002833	0.067161	
5200.004322	0.048313	
5200.005932	0.067745	
5200.007428	0.049118	
5200.009050	0.063012	
5200.010552	0.041086	
5200.012128	0.067717	
5200.013650	0.050846	
5200.015178	0.058126	
5200.016785	0.060188	
5200.018369	0.083423	
5200.019968	0.047765	
5200.021510	0.084833	
5200.023177	0.079995	
5200.024662	0.082980	
5200.026374	0.049920	
5200.027848	0.076672	
5200.029582	0.056780	
5200.031057	0.075899	
5200.032762	0.061534	
5200.034267	0.075161	
5200.036026	0.061199	
5200.037506	0.083129	
5200.039279	0.072966	
5200.040771	0.074509	
5200.042533	0.073208	
5200.044013	0.076656	
5200.045770	0.088181	
5200.047245	0.070916	
5200.048991	0.079359	
5200.050490	0.065743	
5200.052213	0.106405	
5200.053735	0.063197	
5200.055470	0.091686	
5200.056993	0.062496	
5200.058690	0.091980	
5200.060232	0.069993	
5200.061918	0.106796	
5200.063487	0.068273	
5200.065145	0.105394	
5200.066728	0.054947	
5200.068366	0.110578	
5200.069974	0.070811	
5200.071605	0.112435	
5200.073207	0.078585	
5200.074820	0.114635	
5200.076465	0.058895	
5200.078070	0.099102	
5200.079737	0.063608	
5200.081303	0.095839	
5200.082985	0.074448	
5200.084544	0.106042	
5200.086246	0.076608	
5200.087814	0.096141	
5200.089478	0.078162	
5200.091018	0.102675	
5200.092720	0.078465	
5200.094212	0.091335	
5200.095970	0.072998	
5200.097454	0.079355	
5200.099217	0.080358	
5200.100695	0.078122	
5200.102463	0.093949	
5200.103973	0.054951	
5200.105455	0.078042	
5200.107024	0.062988	
5200.108556	0.083383	
5200.110171	0.068019	
5200.111661	0.080870	
5200.113297	0.055733	
5200.114812	0.078618	
5200.116448	0.054202	
5200.117924	0.077981	
5200.119564	0.056881	
5200.121037	0.075137	
5200.122738	0.070432	
5200.124230	0.078356	
5200.125931	0.069832	
5200.127425	0.066791	
5200.129132	0.086755	
5200.130610	0.062525	
5200.132272	0.083669	
5200.133781	0.066102	
5200.135488	0.095234	
5200.137006	0.057280	
5200.138696	0.094747	
5200.140235	0.053811	
5200.141894	0.092962	
5200.143462	0.058839	
5200.145091	0.107207	
5200.146697	0.057360	
5200.148335	0.100834	
5200.149925	0.051938	
5200.151559	0.103722	
5200.153165	0.047620	
5200.154763	0.101591	
5200.156429	0.065534	
5200.158000	0.101136	
5200.159687	0.054911	
5200.161275	0.097293	
5200.162933	0.066758	
5200.164495	0.082445	
5200.166199	0.069473	
5200.167753	0.089156	
5200.169446	0.067786	
5200.170956	0.088205	
5200.172695	0.077925	
5200.174180	0.094787	
5200.175942	0.081498	
5200.177414	0.086272	
5200.179184	0.086324	
5200.180668	0.082501	
5200.182462	0.082412	
5200.183933	0.076942	
5200.185691	0.092346	
5200.187188	0.078549	
5200.188922	0.092507	
5200.190424	0.079037	
5200.192143	0.098731	
5200.193664	0.076845	
5200.195362	0.092169	
5200.196913	0.085530	
5200.198598	0.101035	
5200.200152	0.068692	
5200.201810	0.107605	
5200.203410	0.060232	
5200.204904	0.085546	
5200.206526	0.072293	
5200.208048	0.088938	
5200.209672	0.075081	
5200.211151	0.074058	
5200.212783	0.073280	
5200.214259	0.060422	
5200.215893	0.086030	
5200.217369	0.070360	
5200.218986	0.088491	
5200.220484	0.072374	
5200.222153	0.103388	
5200.223677	0.071202	
5200.225308	0.095992	
5200.226878	0.066569	
5200.228459	0.094812	
5200.230050	0.067653	
5200.231602	0.089063	
5200.233215	0.051511	
5200.234830	0.096427	
5200.236464	0.071774	
5200.238055	0.107114	
5200.239698	0.062166	
5200.241294	0.100733	
5200.242967	0.060253	
5200.244505	0.098151	
5200.246201	0.074650	
5200.247739	0.092950	
5200.249441	0.067060	
5200.250969	0.075250	
5200.252691	0.075206	
5200.254200	0.079532	
5200.255928	0.076156	
5200.257418	0.075661	
5200.259192	0.083734	
5200.260673	0.076805	
5200.262437	0.076309	
5200.263912	0.068116	
5200.265665	0.086054	
5200.267166	0.065413	
5200.268908	0.086191	
5200.270417	0.060321	
5200.272161	0.077421	
5200.273688	0.053259	
5200.275393	0.076608	
5200.276930	0.054843	
5200.278631	0.087943	
5200.280178	0.048486	
5200.281861	0.090264	
5200.283427	0.053203	
5200.285060	0.089067	
5200.286661	0.046520	
5200.288309	0.087955	
5200.289903	0.039313	
5200.291531	0.083287	
5200.293139	0.033094	
5200.294746	0.084209	
5200.296397	0.039015	
5200.297974	0.081933	
5200.299645	0.043966	
5200.301203	0.077816	
5200.302889	0.051149	
5200.304435	0.076906	
5200.306129	0.049988	
5200.307621	0.042415	
5200.309238	0.065070	
5200.310743	0.033488	
