time (s)	theta (A)	maj axis/z0	min axis/z0	crossing#mod 255
6534.386407	94.450294	1.218625	0.042372	33
6536.460111	92.226662	1.189579	0.037436	35
6538.541435	89.270706	1.176105	0.039252	37
6540.607796	89.431541	1.181071	0.044007	39
6542.661095	91.546410	1.184052	0.044515	41
6544.713665	93.510178	1.161234	0.042276	43
6546.776813	93.765282	1.132269	0.039693	45
6548.847059	92.788605	1.116071	0.039080	47
6550.919606	91.928497	1.103140	0.039372	49
6552.989892	91.480370	1.095174	0.039264	51
6555.057125	91.425400	1.082503	0.039295	53
6557.122296	91.076973	1.069534	0.100000	55
6559.182949	91.593109	1.063295	0.038051	57
6561.242070	91.537231	1.051488	0.037459	59
6563.300042	91.416023	1.036548	0.036744	61
6565.363645	91.092285	1.018054	0.036922	63
6567.434484	91.104645	0.998354	0.038340	65
6569.516880	272.017944	-0.975485	-0.039442	67
6571.593713	92.990829	0.966837	0.037137	69
6573.653077	92.494728	0.976007	0.032874	71
6575.699839	271.201660	-0.971440	-0.032014	73
6577.752832	90.505020	0.945459	0.033967	75
6579.824453	90.414093	0.917657	0.100000	77
6581.906922	271.956879	-0.901860	-0.036973	79
6583.984084	277.872345	-0.874224	-0.100000	81
6586.048113	272.438751	-0.895019	-0.032429	83
6588.105346	271.781586	-0.893089	-0.031890	85
6590.156975	271.488708	-0.881620	-0.032366	87
6592.213706	271.671295	-0.866430	-0.032771	89
6594.274717	271.972412	-0.852089	-0.032754	91
6596.338169	272.298676	-0.838376	-0.032348	93
6598.402423	272.556488	-0.825772	-0.031967	95
6600.470977	272.584137	-0.813613	-0.031314	97
6602.539426	272.277069	-0.800928	-0.030507	99
6604.614197	271.607422	-0.787557	-0.029767	101
6606.692089	270.587738	-0.773024	-0.029164	103
6608.765919	269.784515	-0.760815	-0.029740	105
6610.832082	269.893494	-0.761156	-0.030904	107
6612.882452	270.963684	-0.765354	-0.031165	109
6614.926734	272.856140	-0.758765	-0.030636	111
6616.982287	274.170502	-0.738420	-0.028756	113
6619.054549	273.432709	-0.715201	-0.025907	115
6621.136955	271.528320	-0.700862	-0.025043	117
6623.218087	269.994629	-0.689452	-0.026129	119
6625.286613	269.826660	-0.685851	-0.028065	121
6627.346923	270.507935	-0.684763	-0.027659	123
6629.397829	271.229065	-0.682001	-0.026776	125
6631.452094	271.876343	-0.674295	-0.025445	127
6633.509942	272.228668	-0.664044	-0.024197	129
6635.571483	272.228882	-0.653650	-0.023457	131
6637.630868	272.102448	-0.643558	-0.023160	133
6639.695666	271.859985	-0.634043	-0.022518	135
6641.766039	271.650085	-0.622024	-0.022301	137
6643.837478	271.579437	-0.609767	-0.022228	139
6645.912450	271.707245	-0.594597	-0.022565	141
6647.991885	272.226166	-0.581627	-0.022378	143
6650.068136	272.751160	-0.574770	-0.021561	145
6652.131356	272.718536	-0.574199	-0.019690	147
6654.181266	272.085175	-0.578494	-0.018449	149
6656.221307	271.309906	-0.574937	-0.018483	151
6658.266568	270.736053	-0.562411	-0.018145	153
6660.328898	270.691589	-0.547356	-0.018947	155
6662.402458	270.954315	-0.534707	-0.019089	157
6664.484583	271.568542	-0.521685	-0.019094	159
6666.572051	272.276581	-0.511447	-0.018554	161
6668.644225	272.453583	-0.503610	-0.017554	163
6670.717418	272.300537	-0.496723	-0.017187	165
6672.773400	271.936829	-0.492029	-0.016601	167
6674.836205	271.586456	-0.486983	-0.016288	169
6676.897402	271.325043	-0.480245	-0.016369	171
6678.960046	271.164246	-0.471576	-0.015861	173
6681.027669	270.919891	-0.463304	-0.015987	175
6683.094891	270.659424	-0.453980	-0.016182	177
6685.164636	270.399933	-0.445683	-0.017241	179
6687.231952	270.205688	-0.441829	-0.017842	181
6689.288142	270.394684	-0.441703	-0.017255	183
6691.336638	270.857483	-0.443836	-0.015587	185
6693.374229	271.979431	-0.444062	-0.014270	187
6695.419975	273.238281	-0.435974	-0.013303	189
6697.468960	273.985382	-0.423412	-0.012730	191
6699.536558	273.745453	-0.409765	-0.011690	193
6701.620897	272.576294	-0.399823	-0.010733	195
6703.706489	271.183929	-0.392225	-0.010856	197
6705.793821	270.286591	-0.384575	-0.013041	199
6707.869060	270.173462	-0.379725	-0.014619	201
6709.938642	270.392365	-0.373600	-0.015560	203
6711.997581	270.622284	-0.368642	-0.015487	205
6714.051025	271.078003	-0.366191	-0.013720	207
6716.111373	271.226532	-0.362818	-0.012463	209
6718.170989	271.520660	-0.355950	-0.011959	211
