time (s)	det(V)
4696.643018	0.093482	
4696.644494	0.069755	
4696.646134	0.085865	
4696.647616	0.069417	
4696.649200	0.089599	
4696.650733	0.069147	
4696.652372	0.099605	
4696.653935	0.077155	
4696.655523	0.093829	
4696.657103	0.061715	
4696.658672	0.092354	
4696.660279	0.066581	
4696.661812	0.103448	
4696.663493	0.061107	
4696.665085	0.105426	
4696.666719	0.062428	
4696.668299	0.101108	
4696.669991	0.074319	
4696.671551	0.098558	
4696.673254	0.064829	
4696.674787	0.088854	
4696.676491	0.062178	
4696.678032	0.090892	
4696.679733	0.073151	
4696.681240	0.080761	
4696.683003	0.071681	
4696.684498	0.078529	
4696.686280	0.078300	
4696.687767	0.078892	
4696.689539	0.081627	
4696.691018	0.072064	
4696.692797	0.081510	
4696.694277	0.082086	
4696.696038	0.079709	
4696.697540	0.068978	
4696.699292	0.080547	
4696.700797	0.080221	
4696.702523	0.084696	
4696.704034	0.062335	
4696.705714	0.090356	
4696.707255	0.072027	
4696.708922	0.096552	
4696.710480	0.049686	
4696.712128	0.096942	
4696.713721	0.058339	
4696.715368	0.096379	
4696.716958	0.059362	
4696.718596	0.089716	
4696.720181	0.048985	
4696.721798	0.099891	
4696.723469	0.061582	
4696.725043	0.102119	
4696.726713	0.072317	
4696.728273	0.099545	
4696.729960	0.075000	
4696.731526	0.099887	
4696.733192	0.073929	
4696.734729	0.083319	
4696.736437	0.072668	
4696.737922	0.070295	
4696.739486	0.072680	
4696.740988	0.052031	
4696.742568	0.082481	
4696.744085	0.054774	
4696.745652	0.069296	
4696.747244	0.058879	
4696.748736	0.079399	
4696.750398	0.047729	
4696.751884	0.072680	
4696.753505	0.056965	
4696.755007	0.089385	
4696.756683	0.064950	
4696.758157	0.095456	
4696.759886	0.074368	
4696.761355	0.082259	
4696.763052	0.076410	
4696.764534	0.068744	
4696.766230	0.076390	
4696.767714	0.077780	
4696.769462	0.085844	
4696.770943	0.075077	
4696.772695	0.090904	
4696.774192	0.071286	
4696.775937	0.086598	
4696.777444	0.076861	
4696.779164	0.093676	
4696.780687	0.067326	
4696.782398	0.094614	
4696.783941	0.060526	
4696.785606	0.104778	
4696.787167	0.062319	
4696.788839	0.106957	
4696.790417	0.050282	
4696.792091	0.110103	
4696.793683	0.067507	
4696.795314	0.103613	
4696.796916	0.067713	
4696.798535	0.111380	
4696.800164	0.058895	
4696.801747	0.101837	
4696.803416	0.069026	
4696.805006	0.096971	
4696.806659	0.066851	
4696.808247	0.098244	
4696.809919	0.062525	
4696.811495	0.098896	
4696.813212	0.070573	
4696.814745	0.101639	
4696.816458	0.067785	
4696.817996	0.098876	
4696.819709	0.074336	
4696.821197	0.076068	
4696.822965	0.069715	
4696.824455	0.077973	
4696.826244	0.086239	
4696.827723	0.082388	
4696.829508	0.081333	
4696.830986	0.075198	
4696.832758	0.097603	
4696.834234	0.084604	
4696.835989	0.083266	
4696.837492	0.070307	
4696.839238	0.093816	
4696.840748	0.062239	
4696.842454	0.090965	
4696.843981	0.050544	
4696.845519	0.084495	
4696.847132	0.060369	
4696.848622	0.075834	
4696.850247	0.046166	
4696.851771	0.084624	
4696.853416	0.055499	
4696.854898	0.066061	
4696.856536	0.059205	
4696.858008	0.075089	
4696.859716	0.074980	
4696.861195	0.077160	
4696.862902	0.081127	
4696.864382	0.057364	
4696.866076	0.085796	
4696.867561	0.061526	
4696.869212	0.087258	
4696.870730	0.064599	
4696.872445	0.093748	
4696.873975	0.071564	
4696.875688	0.098654	
4696.877238	0.055149	
4696.878928	0.096459	
4696.880491	0.045722	
4696.882154	0.103150	
4696.883731	0.053207	
4696.885389	0.098868	
4696.886989	0.053473	
4696.888640	0.106175	
4696.890253	0.054980	
4696.891885	0.094940	
4696.893499	0.060724	
4696.895106	0.102832	
4696.896757	0.055821	
4696.898333	0.104907	
4696.900014	0.048353	
4696.901581	0.092447	
4696.903277	0.063785	
4696.904851	0.079262	
4696.906515	0.066251	
4696.908056	0.080487	
4696.909771	0.069417	
4696.911301	0.082308	
4696.913038	0.066746	
4696.914528	0.089136	
4696.916287	0.076680	
4696.917763	0.073087	
4696.919532	0.079593	
4696.921010	0.075258	
4696.922791	0.068446	
4696.924275	0.070102	
4696.926030	0.067137	
4696.927522	0.057320	
4696.929251	0.073393	
4696.930757	0.061445	
4696.932484	0.072104	
4696.934012	0.046806	
4696.935701	0.074626	
4696.937235	0.053469	
4696.938910	0.085152	
4696.940479	0.038689	
4696.942156	0.082964	
4696.943769	0.043583	
4696.945258	0.056595	
4696.946878	0.043293	
4696.948404	0.040494	
4696.950007	0.038910	
4696.951498	0.034592	
