crossing time (s)	slope (V/s)	crossing number
4856.054814	25.866645	673
4857.112569	25.692349	674
4858.121926	22.290020	675
4859.178576	20.516712	676
4860.198603	18.257299	677
4861.245585	19.697833	678
4862.258788	18.546246	679
4863.305325	15.940235	680
4864.334359	16.432284	681
4865.387649	16.380214	682
4866.413311	14.797244	683
4867.448092	15.188106	684
4868.477051	13.273892	685
4869.523215	12.408127	686
4870.536217	13.320680	687
4871.604566	10.721746	688
4872.597030	11.310078	689
4873.669612	10.294464	690
4874.652591	9.880740	691
4875.763390	8.610490	692
4876.695017	9.509548	693
4877.833832	8.808781	694
4878.763999	8.022383	695
4879.900080	7.670744	696
4880.860916	7.370086	697
4881.941518	6.448461	698
4882.961157	6.455186	699
4883.995063	6.370883	700
4885.011416	6.773123	701
4886.090309	5.593367	702
4887.067466	6.105696	703
4888.184185	5.207196	704
4889.093034	5.056199	705
4890.277286	4.379849	706
4891.155323	3.788188	707
4892.316157	4.620924	708
4893.251997	3.302604	709
4894.359037	3.975842	710
4895.348541	3.597483	711
4896.411918	3.693142	712
4897.423237	2.476921	713
4898.444397	3.289369	714
4899.475679	3.122377	715
4900.556559	2.492946	716
