time (s)	magX	magY	magZ
6534.952672	7.274693	-141.079483	17.479250
6534.956001	8.209818	-140.904144	17.070135
6534.959334	8.443600	-141.079483	17.713034
6534.962674	8.326708	-141.780823	18.122149
6534.966007	8.677382	-141.663940	18.005259
6534.969342	8.677382	-142.365280	17.771479
6534.972693	9.320280	-142.073059	18.063704
6534.976007	9.144943	-142.540619	18.765047
6534.979340	9.729397	-142.657516	17.888369
6534.982665	9.554062	-143.417297	17.888369
6534.986002	9.846289	-143.943314	18.998831
6534.989331	9.554062	-144.118637	19.466394
6534.992666	10.372295	-144.819992	19.407946
6534.996004	10.489187	-145.462891	20.050848
6534.999331	10.372295	-146.514908	20.459963
6535.002669	10.255405	-146.807129	19.933958
6535.006006	10.080069	-147.683807	21.044416
6535.009334	10.547632	-147.625366	21.804209
6535.012666	10.138515	-148.502045	22.447104
6535.016027	10.489187	-150.021622	23.206896
6535.019336	10.196960	-150.372299	22.797777
6535.024007	9.904734	-152.184097	25.018705
6535.026860	10.372295	-153.703690	24.434252
6535.030267	10.781414	-155.515488	26.246054
6535.033607	10.664522	-156.216827	26.421392
6535.036874	9.846289	-157.035080	28.116304
6535.039758	9.729397	-158.379318	28.934542
6535.043102	9.963179	-159.781998	29.928114
6535.046424	10.138515	-161.126236	31.038572
6535.049761	9.437170	-162.002914	31.915255
6535.052663	9.904734	-163.230270	32.499710
6535.055994	10.138515	-164.223846	32.791931
6535.059325	9.554062	-166.094101	34.253067
6535.062663	10.080069	-167.672119	36.006424
6535.065991	10.372295	-168.490356	36.590881
6535.069326	10.080069	-170.828171	38.110458
6535.072668	10.547632	-171.237289	39.571594
6535.075995	10.313850	-172.289307	39.805374
6535.079373	11.541203	-174.685577	40.740501
6535.082658	11.774984	-175.796036	42.376968
6535.085993	11.716539	-176.906494	43.487434
6535.089321	12.359438	-178.250732	45.065460
6535.092662	12.125656	-180.004089	46.000580
6535.095996	13.060783	-181.582123	46.877266
6535.099324	13.411455	-183.978378	48.279953
6535.102679	14.054354	-185.264175	50.033310
6535.105994	14.288136	-187.485092	51.845123
6535.109322	14.638807	-190.115143	53.832260
6535.112652	14.697252	-190.232040	54.592049
6535.115995	15.515488	-193.037415	55.877846
6535.119324	15.924604	-194.264755	57.981880
6535.123990	16.333721	-198.823502	62.248390
6535.126905	17.035067	-200.343079	63.767967
6535.130259	17.385738	-202.797775	66.222672
6535.133504	17.853302	-205.720047	68.092926
6535.136839	18.145529	-207.122742	70.080070
6535.139749	18.320866	-208.876099	72.125656
6535.143079	18.963764	-211.739929	74.931030
6535.146439	19.080654	-214.603745	78.729980
6535.149757	18.846872	-217.116898	81.827583
6535.152652	18.963764	-220.623627	84.048500
6535.155984	19.022209	-222.084747	86.736992
6535.159314	19.139099	-224.831680	90.360611
6535.162701	19.723553	-228.163055	93.984215
6535.165988	19.255989	-230.325546	97.432503
6535.169322	20.015779	-233.598480	100.588547
6535.172648	19.372881	-236.111633	104.971939
6535.175985	19.372881	-238.274109	108.244888
6535.179321	19.781998	-242.715958	112.043823
6535.182650	19.723553	-245.346008	115.959671
6535.185988	20.015779	-247.742264	120.810638
6535.189333	20.074224	-251.190536	125.077148
6535.192646	20.074224	-254.288132	129.226761
6535.195979	20.366451	-255.690826	134.954407
6535.199312	20.483341	-259.606659	138.987137
6535.202648	20.541786	-262.528931	143.312103
6535.205976	21.710693	-266.444763	148.338394
6535.209310	22.353594	-268.665680	153.715363
6535.212641	22.645821	-272.698425	159.209229
6535.215981	23.931618	-276.906494	165.404449
6535.219308	23.931618	-278.718262	170.430740
6535.223929	25.392752	-284.621246	182.061371
6535.226863	26.327877	-288.011078	188.957916
6535.230159	27.263004	-291.342468	194.977783
6535.233540	28.315020	-294.381622	201.582108
6535.236845	28.899473	-297.537689	208.829330
6535.239747	30.535942	-300.810608	215.492111
6535.243086	32.113968	-303.148437	222.739319
6535.246417	32.990646	-305.836945	229.694336
6535.249730	34.510227	-309.460541	236.649323
6535.252643	36.438923	-313.259491	245.474579
6535.255975	37.549385	-314.253052	254.533600
6535.259307	38.601402	-317.642914	262.715973
6535.262644	39.653419	-320.798950	271.073639
6535.265976	40.004089	-323.195190	281.593811
6535.269305	41.465225	-325.708344	290.419067
6535.272636	42.049679	-328.455292	300.179413
6535.275987	43.335476	-331.143768	310.758026
6535.279310	43.627701	-333.423126	320.635315
6535.282638	44.679718	-337.222076	333.084167
6535.285970	45.264172	-338.449432	344.071899
6535.289301	45.731735	-339.969025	355.176514
6535.292640	45.848625	-342.306824	367.683807
6535.295963	46.140854	-344.644623	379.957336
6535.299328	46.900642	-346.456451	392.581512
6535.302639	46.608414	-347.742249	404.679749
6535.305970	47.251312	-349.787811	416.894775
6535.309306	46.842197	-350.722961	431.389252
6535.312664	47.777321	-351.132080	442.318542
6535.315972	47.952660	-351.541168	457.572754
6535.319312	47.777321	-351.482758	472.125671
6535.323975	48.537109	-350.839844	500.120972
6535.326831	48.478668	-351.307404	514.615417
6535.330212	48.887783	-349.261841	529.752808
6535.333553	49.530685	-347.274689	541.734070
6535.336484	50.641144	-346.924011	556.988281
6535.339718	51.576271	-343.826416	570.489197
6535.343057	51.634716	-341.313263	584.691406
6535.346397	52.803623	-337.514313	599.361206
6535.349721	53.914085	-334.299835	614.089417
6535.352632	55.433662	-330.208618	627.590271
6535.355964	56.310345	-326.059021	640.389832
6535.359298	57.537697	-320.740479	655.293396
6535.362632	59.407948	-316.006409	669.320251
6535.365961	60.927528	-310.570984	682.002930
6535.369297	63.090004	-304.434235	694.627075
6535.372626	65.018700	-296.485657	706.257751
6535.375974	66.713623	-289.764435	719.291077
6535.379286	68.291641	-281.815887	731.623047
6535.382669	69.928116	-274.860870	742.727661
6535.385965	72.090591	-265.334290	755.118042
6535.389303	73.142609	-255.866150	765.053772
6535.392622	74.954414	-247.040924	774.872559
6535.395962	76.415543	-237.105209	785.743408
6535.399293	77.350677	-226.000580	794.276489
6535.402621	78.168907	-214.954407	804.153687
6535.405956	78.870255	-203.557571	812.628296
6535.409295	80.039154	-191.400940	819.466370
6535.412631	80.331383	-179.536530	828.116272
6535.415962	80.214493	-166.386322	834.136169
6535.419302	80.798950	-153.528336	841.558716
6535.422624	79.805374	-140.787262	844.130371
6535.426874	79.220917	-113.025726	853.598450
6535.430217	77.876678	-98.940392	856.228516
6535.433550	76.590881	-83.803047	860.553528
6535.436809	75.246643	-69.776154	859.735229
6535.439721	73.317940	-54.288136	861.196411
6535.443053	72.265930	-40.085915	861.663940
6535.446374	71.213913	-25.123905	861.020996
6535.449735	70.103447	-10.278785	859.501404
6535.453054	67.882523	5.092343	857.105225
6535.455955	66.421387	20.463470	854.182983
6535.459288	64.726471	35.133255	849.741150
6535.462624	63.674458	49.744595	845.123901
6535.465950	62.096436	64.355927	839.396240
6535.469282	60.927528	78.265923	833.785522
6535.472653	59.349503	92.818825	827.239685
6535.475956	58.765049	106.728806	819.291077
6535.479290	58.297485	120.580368	811.167175
