time (s)	magX	magY	magZ
4304.043794	-47.605495	-380.646973	203.627716
4304.046656	-49.008183	-385.790192	208.595566
4304.050034	-49.651081	-388.127991	213.680298
4304.053366	-51.345997	-390.991791	220.050842
4304.056680	-51.813557	-394.498535	225.135590
4304.059546	-53.742260	-397.829895	231.038574
4304.062885	-55.320278	-401.745758	236.123322
4304.066206	-56.255405	-405.836945	242.026276
4304.069549	-57.424313	-410.863220	249.916412
4304.072452	-59.236118	-414.077728	256.579193
4304.075812	-59.995914	-417.993561	261.956177
4304.079110	-61.749271	-422.143188	268.618927
4304.082451	-64.028641	-426.409698	276.684387
4304.085785	-65.255997	-430.617737	284.749847
4304.089110	-67.535355	-434.007568	292.698425
4304.092444	-69.288727	-439.150787	300.354767
4304.095779	-70.808289	-444.001740	310.465820
4304.099125	-73.263000	-448.092896	318.414398
4304.102445	-74.899475	-451.015198	327.882538
4304.105786	-76.302170	-455.924591	338.811798
4304.109109	-78.756866	-459.489746	347.227936
4304.112442	-80.685562	-464.165375	356.637634
4304.115783	-82.848038	-468.490326	366.924042
4304.119130	-85.361206	-472.113953	377.911774
4304.122446	-87.465225	-476.614258	386.912354
4304.125779	-90.387497	-480.646973	399.711853
4304.129109	-92.433075	-486.433044	410.232025
4304.132443	-95.180008	-489.413757	421.745789
4304.135779	-97.517822	-493.621857	434.369965
4304.139108	-100.147873	-498.648132	447.695496
4304.142443	-102.661011	-502.505554	458.916992
4304.146693	-107.862656	-509.460510	484.457642
4304.150033	-110.434250	-512.149048	499.302734
4304.153344	-113.239624	-516.064880	512.511414
4304.156626	-115.811218	-518.168884	526.596741
4304.159951	-119.142609	-523.195251	539.454712
4304.162908	-121.363541	-526.000610	554.241394
4304.166197	-124.285797	-527.637024	569.729370
4304.169542	-127.441849	-530.033325	584.691406
4304.172879	-130.130325	-532.604919	599.594971
4304.175777	-134.805954	-535.527161	615.316772
4304.179108	-137.494446	-537.339050	631.681458
4304.182436	-140.299820	-539.384583	646.643494
4304.185816	-144.507889	-541.663940	664.177063
4304.189106	-147.956161	-543.475769	679.314453
4304.192435	-151.170654	-542.540649	695.737549
4304.195772	-155.086487	-543.358826	711.810059
4304.199100	-158.593216	-544.878418	730.395630
4304.202439	-162.742844	-545.579834	746.818848
4304.205771	-166.249557	-545.813538	766.982483
4304.209102	-170.866745	-544.294006	782.470459
4304.212440	-174.081238	-543.242004	803.218628
4304.215769	-178.347748	-541.137939	820.109314
4304.219098	-182.380478	-539.910583	838.811829
4304.222438	-186.939209	-538.157227	857.163696
4304.225768	-190.738159	-534.708984	876.684448
4304.229100	-194.654007	-531.845154	894.568665
4304.232430	-198.452942	-528.046204	912.862061
4304.235768	-203.362350	-523.838135	933.142639
4304.239093	-206.693741	-518.052063	951.202271
4304.242430	-211.018692	-511.915222	968.560486
4304.245761	-214.992996	-507.531860	988.899475
4304.249995	-223.701340	-493.797180	1024.083618
4304.253275	-226.798965	-485.965515	1039.863770
4304.256635	-230.773209	-477.724701	1058.040283
4304.259966	-235.215073	-470.711243	1072.476318
4304.262850	-238.838699	-459.898865	1087.905884
4304.266201	-242.637650	-450.781403	1104.562866
4304.269544	-246.553482	-440.495026	1117.187012
4304.272891	-249.826431	-430.676178	1132.207397
4304.275798	-254.560471	-418.987152	1143.136719
4304.279092	-257.774994	-405.778473	1156.637573
4304.282426	-261.281708	-393.914062	1168.735840
4304.285757	-264.437775	-380.179413	1181.535400
4304.289096	-267.476929	-366.386322	1191.588013
4304.292459	-270.165436	-351.599640	1201.523682
4304.295758	-273.263000	-338.975433	1208.829346
4304.299091	-276.535980	-323.838074	1217.946777
4304.302430	-278.581543	-306.947388	1224.901855
4304.305762	-280.860901	-290.524231	1233.259521
