crossing time (s)	slope (V/s)	crossing number
2262.397017	21.315840	1341
2263.424155	19.671606	1342
2264.473422	18.577664	1343
2265.492504	19.688118	1344
2266.563429	19.621780	1345
2267.590972	17.208061	1346
2268.612033	18.262697	1347
2269.646426	18.333719	1348
2270.695960	17.787597	1349
2271.694406	17.847649	1350
2272.742755	18.879629	1351
2273.778181	17.016285	1352
2274.821787	17.060898	1353
2275.842836	16.587916	1354
2276.905558	17.510448	1355
2277.919794	16.820025	1356
2278.962056	16.466537	1357
2279.984140	15.433157	1358
2281.039249	16.024584	1359
2282.049199	14.973557	1360
2283.101464	15.763449	1361
2284.111066	14.426071	1362
2285.179486	15.341833	1363
2286.191196	14.296872	1364
2287.236070	15.175792	1365
2288.246563	14.504022	1366
2289.305339	13.834578	1367
2290.359629	13.533354	1368
2291.375428	12.762872	1369
2292.404551	14.604495	1370
2293.449431	13.368413	1371
2294.456975	13.253942	1372
2295.533868	12.488908	1373
2296.548369	11.829441	1374
2297.566920	12.257962	1375
2298.622539	12.812140	1376
2299.644888	12.425019	1377
2300.680102	11.641009	1378
2301.731346	11.547485	1379
2302.731482	11.561233	1380
2303.794848	12.134683	1381
2304.796524	11.777118	1382
2305.877499	11.225218	1383
2306.861725	10.949195	1384
2307.946282	11.210891	1385
2308.967100	10.039965	1386
2310.016469	11.380788	1387
2311.015223	10.557774	1388
2312.078035	10.303185	1389
2313.085309	10.239010	1390
2314.133678	10.104848	1391
2315.184108	8.639063	1392
2316.206276	9.203362	1393
2317.217955	9.317616	1394
2318.267895	9.696095	1395
2319.285616	8.451898	1396
2320.345898	9.355321	1397
2321.357499	9.205326	1398
2322.397748	9.577743	1399
2323.439988	8.473592	1400
2324.477250	8.605336	1401
2325.526297	7.744303	1402
2326.542259	7.242778	1403
2327.580023	9.042004	1404
2328.619126	8.471022	1405
2329.652448	7.803798	1406
2330.683997	7.736664	1407
2331.719586	7.488014	1408
2332.749370	7.175181	1409
2333.792941	7.444691	1410
2334.830468	5.846488	1411
2335.862850	7.083829	1412
2336.887071	7.322771	1413
2337.931892	7.439583	1414
2338.955874	7.119051	1415
2339.981135	6.197860	1416
2341.062654	6.547831	1417
2342.059639	7.163238	1418
2343.120627	6.691884	1419
2344.122644	6.406154	1420
2345.177491	6.018288	1421
2346.194591	6.051836	1422
2347.232251	6.528700	1423
2348.295954	5.886879	1424
2349.287083	6.276220	1425
2350.338783	6.246367	1426
2351.387661	5.632418	1427
2352.424946	4.688726	1428
2353.436636	5.890468	1429
2354.493546	5.287835	1430
2355.511275	5.675745	1431
2356.555396	4.907105	1432
2357.570535	5.430535	1433
2358.617833	4.566405	1434
2359.660217	5.130945	1435
2360.707195	5.219376	1436
2361.709450	4.876408	1437
2362.752598	5.018351	1438
2363.786873	4.377709	1439
2364.817215	4.302037	1440
2365.889097	4.388782	1441
2366.893405	4.497193	1442
2367.948608	4.687985	1443
2368.940970	4.786943	1444
2370.033173	4.822383	1445
2371.055361	4.078197	1446
2372.063292	4.588206	1447
2373.113679	4.548438	1448
2374.124354	4.491890	1449
2375.184008	3.596482	1450
2376.182018	3.505054	1451
2377.251592	4.016377	1452
2378.253649	4.323745	1453
2379.331900	3.306137	1454
2380.353777	4.359966	1455
2381.397258	3.934741	1456
2382.412286	3.441760	1457
2383.438756	2.943849	1458
2384.494246	3.817642	1459
2385.482586	2.887438	1460
2386.570482	3.454275	1461
2387.558085	3.251247	1462
2388.653515	2.587049	1463
2389.653741	3.016518	1464
2390.713987	3.101358	1465
2391.741984	2.846760	1466
2392.763707	3.604433	1467
2393.800888	3.529829	1468
2394.808514	3.124490	1469
2395.866453	3.047400	1470
2396.868932	2.827111	1471
2397.946784	2.641866	1472
2398.979395	3.284915	1473
2400.020373	2.397187	1474
2401.027708	2.440331	1475
2402.085465	3.118258	1476
2403.070264	2.229384	1477
2404.169947	2.107881	1478
2405.164999	2.587362	1479
2406.224900	2.373461	1480
2407.254221	1.973941	1481
2408.268710	3.211627	1482
2409.347095	1.972562	1483
2410.345326	2.065686	1484
2411.428023	2.232446	1485
2412.400931	1.890845	1486
2413.503107	2.067684	1487
