time (s)	det(V)
961.815784	-0.098469	
961.817352	-0.136090	
961.819031	-0.098860	
961.820620	-0.124947	
961.822280	-0.098473	
961.823882	-0.137375	
961.825531	-0.094731	
961.827131	-0.119900	
961.828732	-0.099871	
961.830378	-0.142579	
961.831975	-0.112435	
961.833637	-0.149105	
961.835236	-0.110264	
961.836889	-0.130704	
961.838485	-0.111307	
961.840175	-0.158612	
961.841735	-0.115360	
961.843439	-0.142140	
961.844992	-0.110449	
961.846694	-0.146684	
961.848263	-0.107883	
961.849983	-0.134829	
961.851536	-0.114832	
961.853264	-0.134261	
961.854768	-0.104834	
961.856533	-0.157009	
961.858010	-0.125536	
961.859805	-0.128061	
961.861284	-0.152247	
961.862938	-0.145955	
961.864448	-0.146120	
961.866014	-0.140956	
961.867563	-0.115038	
961.869097	-0.133443	
961.870712	-0.134865	
961.872204	-0.125322	
961.873848	-0.182242	
961.875393	-0.125809	
961.877056	-0.187709	
961.878560	-0.115433	
961.880259	-0.137181	
961.881746	-0.120432	
961.883469	-0.134080	
961.884951	-0.146712	
961.886667	-0.149806	
961.888191	-0.096125	
961.889936	-0.145528	
961.891434	-0.123586	
961.893180	-0.150918	
961.894660	-0.125415	
961.896435	-0.136380	
961.897928	-0.128915	
961.899699	-0.147180	
961.901181	-0.121499	
961.902954	-0.120597	
961.904446	-0.112045	
961.906204	-0.123711	
961.907710	-0.123658	
961.909456	-0.137842	
961.910974	-0.129205	
961.912717	-0.130353	
961.914243	-0.150680	
961.915946	-0.115243	
961.917483	-0.167458	
961.919205	-0.128549	
961.920760	-0.145903	
961.922437	-0.121298	
961.923993	-0.182347	
961.925677	-0.122011	
961.927265	-0.136480	
961.928938	-0.122591	
961.930533	-0.173867	
961.932173	-0.133443	
961.933764	-0.156618	
961.935394	-0.121588	
961.937035	-0.173243	
961.938631	-0.125447	
961.940317	-0.185650	
961.941934	-0.139284	
961.943591	-0.188732	
961.945186	-0.139711	
961.946855	-0.187407	
961.948436	-0.129165	
961.950143	-0.193058	
961.951696	-0.150008	
961.953409	-0.166524	
961.954949	-0.142410	
961.956669	-0.196249	
961.958223	-0.164699	
961.959942	-0.188627	
961.961432	-0.206875	
961.963065	-0.201614	
961.964556	-0.218707	
961.966181	-0.205179	
961.967692	-0.209595	
961.969269	-0.191306	
961.970810	-0.195004	
