time (s)	magX	magY	magZ
3302.819269	-33.430744	-168.907074	73.056694
3302.822604	-33.138515	-167.445938	72.296898
3302.825935	-33.430744	-166.627701	71.186440
3302.829263	-33.489189	-165.517242	70.192871
3302.832603	-33.956753	-164.523666	69.374634
3302.835938	-33.898308	-163.530106	68.731735
3302.839270	-33.489189	-160.900055	66.861488
3302.842614	-33.430744	-160.900055	66.861488
3302.845972	-34.132088	-159.964935	65.341911
3302.850538	-34.307423	-157.393341	64.114555
3302.853461	-34.599651	-156.984222	63.179428
3302.856800	-35.067211	-156.165985	62.185852
3302.860148	-35.534775	-155.113968	61.835182
3302.863078	-35.067211	-154.646408	61.367619
3302.866380	-35.184105	-154.003494	60.607834
3302.869717	-35.242550	-152.717712	60.257160
3302.873090	-35.300995	-151.899475	59.497368
3302.876357	-35.534775	-152.367035	59.731148
3302.879264	-36.002338	-151.256577	58.562244
3302.882589	-35.359440	-150.204559	59.497368
3302.885934	-35.885448	-150.087662	58.328461
3302.889297	-35.651665	-149.094086	58.036240
3302.892594	-36.002338	-149.386322	56.925774
3302.895923	-35.651665	-149.094086	56.808884
3302.899261	-35.885448	-148.801880	58.270020
3302.902595	-36.411457	-148.451202	57.802456
3302.905930	-36.060783	-148.042084	57.334892
3302.909256	-36.060783	-147.925186	58.562244
3302.912594	-36.586792	-147.866745	58.153130
3302.915920	-36.411457	-147.399185	58.211571
3302.919258	-35.943893	-147.282288	57.276447
3302.922584	-35.768555	-147.691406	57.334892
3302.925931	-35.651665	-148.158966	57.510227
3302.929259	-35.768555	-147.632965	58.620689
3302.932610	-35.593220	-148.042084	58.503799
3302.935926	-35.534775	-147.574524	58.153130
3302.939318	-36.528347	-147.165405	58.270020
3302.942598	-36.002338	-148.158966	58.036240
3302.945921	-36.294563	-147.399185	58.328461
3302.949261	-35.943893	-148.334320	58.620689
3302.953443	-36.177673	-148.100525	58.328461
3302.956765	-36.995907	-148.100525	58.328461
3302.960123	-36.937462	-148.684982	59.380478
3302.963465	-37.229691	-148.334320	58.153130
3302.966364	-36.528347	-148.217422	58.445351
3302.969701	-36.703682	-149.444763	58.386909
3302.973045	-36.879017	-149.035660	59.497368
3302.976395	-36.703682	-149.970779	59.088253
3302.979249	-37.054356	-149.444763	58.386909
3302.982594	-37.405025	-149.970779	58.737583
3302.985917	-37.463470	-150.321442	58.562244
3302.989252	-37.405025	-151.022797	59.789597
3302.992584	-37.989479	-150.730560	59.789597
3302.995921	-38.281708	-151.256577	59.848042
3302.999251	-38.457043	-151.607254	59.731148
3303.002579	-38.632378	-152.016373	60.023380
3303.005917	-38.340153	-152.951492	60.783165
3303.009252	-38.924606	-153.769714	61.952072
3303.012576	-39.742840	-153.769714	60.958504
3303.015913	-38.749268	-154.880188	62.127411
3303.019273	-39.275276	-156.399765	62.068962
3303.022579	-39.158386	-156.750443	62.887199
3303.025923	-39.275276	-158.094681	63.413208
3303.029243	-39.567505	-159.029800	63.997662
3303.032576	-39.275276	-159.614258	64.406784
3303.035913	-39.509056	-160.140259	65.575691
3303.039250	-39.216831	-161.659851	67.036819
3303.042579	-39.567505	-162.653427	66.978378
3303.045913	-39.333721	-164.348343	68.965515
3303.049249	-39.742840	-165.809464	69.549973
3303.053877	-40.210403	-168.614838	71.244881
3303.056808	-39.742840	-169.549973	71.887787
3303.060118	-40.151958	-170.426651	74.284050
3303.063499	-40.502628	-172.413788	74.108711
3303.066362	-39.976620	-173.465805	75.920517
3303.069698	-40.444183	-174.342484	76.914085
3303.073034	-40.035065	-175.862076	78.199883
3303.076331	-40.619518	-177.089417	79.719460
3303.079660	-40.385738	-178.725891	81.239037
3303.082581	-40.736408	-181.472824	83.226189
3303.085909	-40.970196	-182.700180	84.453537
3303.089244	-40.736408	-184.044418	85.739334
3303.092578	-40.970196	-185.739334	86.031563
3303.095911	-41.203976	-187.317352	87.901810
3303.099238	-42.080654	-188.603149	88.720047
3303.102572	-42.022209	-190.064285	90.181175
3303.105904	-42.314438	-192.402100	92.226768
3303.109239	-42.372883	-194.798355	93.045006
3303.112585	-43.191116	-196.084167	96.376389
3303.115902	-43.366451	-198.363525	96.727058
3303.119244	-44.126244	-199.766220	98.714203
3303.122573	-44.009354	-201.168915	101.578018
3303.125907	-45.119812	-204.032730	102.688492
3303.129239	-45.236702	-206.019882	103.565170
3303.132589	-46.230274	-207.714798	106.078316
3303.135919	-46.288719	-209.643478	108.007011
3303.139240	-45.938049	-211.864395	110.695503
3303.142566	-46.580948	-214.728241	113.091751
3303.145907	-46.522503	-216.656921	115.663353
3303.149236	-47.223846	-219.637634	118.176506
3303.153866	-47.808300	-224.780823	123.495033
3303.156834	-47.574516	-226.709534	127.177086
3303.160115	-48.451199	-229.398010	129.339569
3303.163497	-48.684978	-232.378723	133.313843
3303.166822	-48.626534	-233.956741	136.762131
3303.169702	-48.860313	-238.047928	140.561081
3303.172993	-48.684978	-240.444183	144.710693
3303.176324	-49.736996	-243.950912	147.165405
3303.179662	-49.912331	-246.990067	153.243713
3303.182566	-49.678551	-248.977203	157.276459
3303.185899	-50.146114	-251.957916	160.958511
3303.189234	-50.321449	-255.464645	165.458801
3303.192564	-50.379898	-259.731140	172.296906
3303.195899	-50.613678	-261.718292	175.219162
3303.199255	-50.964348	-264.699005	180.070145
3303.202560	-51.022793	-268.439514	186.732895
3303.205901	-51.198132	-271.712433	191.642319
3303.209232	-51.607246	-274.868500	197.369965
3303.212564	-52.717709	-277.966095	203.097610
3303.215894	-53.360603	-280.654602	208.708359
3303.219228	-53.185272	-284.745758	215.371124
3303.222563	-54.237289	-286.966675	221.040314
3303.225893	-54.529510	-290.940979	227.469330
3303.229240	-55.347752	-293.512573	233.489182
3303.232566	-56.224430	-296.084167	240.035065
3303.235937	-56.341320	-300.350677	246.054932
3303.239223	-56.867332	-303.565155	253.594391
3303.242583	-58.386909	-306.253662	261.309174
3303.245890	-58.854473	-311.046173	267.738190
3303.249223	-60.023380	-311.805969	274.693146
3303.252557	-60.900055	-314.319122	283.284637
3303.257194	-63.120979	-321.917023	299.123322
3303.260144	-63.997662	-324.254822	307.422577
3303.263435	-65.108124	-327.352417	316.773834
3303.266825	-65.517242	-329.807129	324.254822
3303.269676	-66.160141	-333.372314	334.248962
3303.273039	-66.978378	-336.119232	343.191132
3303.276317	-68.381065	-338.924591	354.587952
3303.279645	-69.374634	-340.502625	364.173004
3303.282980	-69.666862	-343.366455	375.102295
3303.285911	-70.485100	-344.652252	385.330231
3303.289218	-70.952660	-345.528931	396.843964
3303.292550	-71.595558	-348.684967	407.305664
3303.295889	-71.537109	-349.620117	421.215668
3303.299221	-72.238457	-352.308594	433.313843
3303.302552	-73.348923	-352.074829	446.171814
3303.305885	-73.173584	-354.237305	458.971344
3303.309216	-73.699593	-354.938629	471.303314
3303.312552	-73.348923	-355.289307	486.908234
3303.315891	-74.225601	-355.347748	499.357086
3303.319217	-73.758034	-355.756866	514.669800
3303.322554	-74.400940	-354.354156	528.988892
3303.325883	-74.225601	-354.704865	542.840454
3303.329245	-74.634720	-353.652832	556.282837
3303.332553	-74.576271	-352.074829	571.770935
3303.335882	-75.394508	-349.737000	585.154846
3303.339215	-75.745178	-346.580963	599.415527
3303.342552	-76.154297	-344.535339	614.494446
3303.345878	-76.271187	-341.145538	629.339539
3303.349218	-76.914085	-337.405029	643.132690
3303.352546	-76.972534	-333.080078	657.276428
3303.357171	-77.498535	-323.904144	685.154846
3303.360132	-78.550552	-318.760956	697.136169
3303.363420	-79.310349	-313.617767	712.039734
3303.366814	-79.427238	-306.779663	721.040344
3303.370141	-79.836349	-299.941559	736.236084
3303.373006	-80.829926	-293.454132	747.925171
3303.376315	-81.648163	-285.330231	758.270020
3303.379634	-81.706604	-277.732330	770.543518
3303.382971	-82.583282	-269.900635	781.648132
3303.385894	-82.174171	-260.666260	792.051392
3303.389208	-82.524841	-250.730560	800.993530
3303.392541	-83.401520	-242.314438	811.104614
3303.395875	-83.869080	-230.800705	822.326111
3303.399213	-83.401520	-221.040314	829.924011
3303.402545	-83.693748	-210.111053	836.528320
3303.405875	-83.927528	-198.714203	843.541809
3303.409208	-83.752190	-186.382233	850.905884
3303.412542	-83.518410	-174.167160	856.458191
3303.415890	-82.933960	-160.724716	861.250671
3303.419206	-82.291061	-147.106964	866.686157
3303.422590	-81.005257	-133.722977	871.654053
3303.425871	-80.654587	-119.812981	873.348877
3303.429211	-79.894798	-105.610748	875.453003
3303.432540	-78.024551	-90.648743	877.615479
3303.435869	-77.147865	-74.693161	877.381592
3303.439211	-75.394508	-60.549385	876.972473
3303.442537	-73.933372	-45.236702	876.037415
3303.445867	-71.946228	-29.690239	875.511353
3303.449204	-70.894211	-13.734658	872.063171
3303.452542	-69.023964	2.863822	869.959045
3303.457222	-65.575691	33.956753	861.309143
3303.460111	-63.062538	49.035652	854.704834
3303.463474	-62.361191	65.049675	848.158936
3303.466793	-60.198711	80.128578	842.431335
3303.470133	-58.386909	95.149033	832.846252
3303.472985	-56.867332	109.526596	822.559937
3303.476286	-56.341320	123.904144	815.195740
3303.479618	-55.347752	137.638809	805.610779
3303.482960	-53.360603	151.256577	795.908813
3303.485865	-52.425480	164.582123	786.674438
3303.489197	-51.724136	177.206314	776.738770
3303.492534	-50.555229	188.895386	764.289917
3303.495870	-49.386322	200.876694	752.600830
3303.499200	-48.918758	211.163071	740.853333
3303.502546	-47.983635	222.267670	730.099365
3303.505864	-47.282291	232.612518	715.137329
3303.509200	-46.639393	240.677979	705.084778
3303.512533	-46.054939	250.087662	693.746338
3303.515866	-45.353596	257.568665	679.193420
