time (s)	det(V)
3484.963845	-0.115843	
3484.965351	-0.120041	
3484.967089	-0.109998	
3484.968614	-0.149371	
3484.970332	-0.088407	
3484.971859	-0.090074	
3484.973560	-0.100890	
3484.975106	-0.156570	
3484.976803	-0.102220	
3484.978365	-0.151470	
3484.980051	-0.106328	
3484.981638	-0.140082	
3484.983299	-0.080982	
3484.984885	-0.138072	
3484.986524	-0.094803	
3484.988111	-0.112448	
3484.989760	-0.087710	
3484.991375	-0.126752	
3484.992983	-0.093216	
3484.994657	-0.156828	
3484.996247	-0.101217	
3484.997902	-0.145508	
3484.999492	-0.104467	
3485.001175	-0.160296	
3485.002745	-0.092765	
3485.004433	-0.105547	
3485.005985	-0.094300	
3485.007696	-0.136497	
3485.009245	-0.122599	
3485.010975	-0.125592	
3485.012499	-0.120577	
3485.014211	-0.143872	
3485.015708	-0.112701	
3485.017489	-0.120689	
3485.018973	-0.120073	
3485.020751	-0.110119	
3485.022238	-0.120887	
3485.024005	-0.126394	
3485.025482	-0.119944	
3485.027241	-0.122788	
3485.028734	-0.134543	
3485.030479	-0.108020	
3485.032027	-0.153226	
3485.033521	-0.119038	
3485.035125	-0.146640	
3485.036616	-0.110075	
3485.038276	-0.136227	
3485.039776	-0.119517	
3485.041413	-0.145037	
3485.042941	-0.127155	
3485.044568	-0.124625	
3485.046058	-0.152022	
3485.047712	-0.138466	
3485.049187	-0.126204	
3485.050926	-0.129512	
3485.052414	-0.138777	
3485.054126	-0.123819	
3485.055605	-0.112697	
3485.057302	-0.119771	
3485.058779	-0.131763	
3485.060458	-0.119646	
3485.061972	-0.136481	
3485.063721	-0.110611	
3485.065258	-0.137802	
3485.066984	-0.097732	
3485.068530	-0.138901	
3485.070238	-0.089510	
3485.071785	-0.123167	
3485.073478	-0.109092	
3485.075042	-0.120411	
3485.076733	-0.095287	
3485.078311	-0.169456	
3485.079991	-0.111992	
3485.081564	-0.124238	
3485.083224	-0.104073	
3485.084806	-0.127997	
3485.086446	-0.095565	
3485.088065	-0.154954	
3485.089676	-0.098131	
3485.091339	-0.132718	
3485.092932	-0.105100	
3485.094608	-0.160558	
3485.096200	-0.109966	
3485.097877	-0.124814	
3485.099465	-0.104737	
3485.101162	-0.161629	
3485.102711	-0.099198	
3485.104426	-0.125918	
3485.105969	-0.097172	
3485.107663	-0.133145	
3485.109210	-0.123409	
3485.110940	-0.125689	
3485.112450	-0.107618	
3485.114180	-0.123908	
3485.115666	-0.104258	
3485.117449	-0.133951	
3485.118932	-0.121705	
3485.120716	-0.105603	
3485.122198	-0.112480	
3485.123974	-0.124134	
3485.125449	-0.129093	
3485.127208	-0.114454	
3485.128710	-0.165222	
3485.130474	-0.125914	
3485.131980	-0.133218	
3485.133719	-0.118127	
3485.135244	-0.149113	
3485.136764	-0.149069	
3485.138380	-0.133536	
3485.139859	-0.128541	
3485.141482	-0.169670	
3485.143008	-0.146342	
3485.144647	-0.166423	
3485.146134	-0.150563	
3485.147784	-0.158503	
3485.149260	-0.156489	
3485.150900	-0.152614	
3485.152380	-0.160022	
3485.154079	-0.136871	
3485.155565	-0.149137	
3485.157289	-0.137475	
3485.158776	-0.175986	
3485.160452	-0.140251	
3485.161973	-0.185288	
3485.163627	-0.162153	
3485.165161	-0.180329	
3485.166854	-0.151099	
3485.168395	-0.194895	
3485.170073	-0.147264	
3485.171633	-0.170451	
3485.173298	-0.139365	
3485.174897	-0.208922	
3485.176544	-0.159543	
3485.178161	-0.201115	
3485.179809	-0.156819	
3485.181415	-0.220326	
3485.183040	-0.160465	
3485.184662	-0.192220	
3485.186264	-0.170121	
3485.187928	-0.186242	
3485.189496	-0.171688	
3485.191182	-0.221893	
3485.192767	-0.187600	
3485.194444	-0.207915	
3485.196016	-0.191088	
3485.197681	-0.249302	
3485.199251	-0.193969	
3485.200964	-0.217470	
3485.202475	-0.193433	
3485.204236	-0.231194	
3485.205727	-0.222022	
3485.207476	-0.236250	
3485.208961	-0.222828	
3485.210747	-0.245809	
3485.212238	-0.241958	
3485.214045	-0.237273	
3485.215525	-0.247187	
3485.217296	-0.234784	
3485.218771	-0.269274	
3485.220512	-0.256577	
3485.222014	-0.257366	
3485.223746	-0.263256	
3485.225265	-0.290556	
3485.226981	-0.264339	
3485.228522	-0.314564	
3485.230242	-0.275812	
3485.231782	-0.313598	
3485.233477	-0.284968	
3485.235029	-0.336116	
3485.236707	-0.289549	
3485.238297	-0.343782	
3485.239791	-0.316812	
3485.241437	-0.379449	
3485.242958	-0.352950	
3485.244604	-0.357200	
3485.246082	-0.374925	
3485.247725	-0.375432	
3485.249202	-0.385515	
3485.250837	-0.371049	
3485.252314	-0.405701	
3485.253939	-0.394204	
3485.255438	-0.423305	
3485.257106	-0.406003	
3485.258633	-0.468068	
3485.260288	-0.410745	
3485.261821	-0.478299	
3485.263446	-0.455838	
3485.265007	-0.482791	
3485.266606	-0.474360	
3485.268192	-0.529504	
3485.269852	-0.486630	
3485.271461	-0.534313	
3485.273096	-0.515477	
3485.274717	-0.573436	
3485.276324	-0.546281	
3485.278006	-0.617108	
3485.279592	-0.585360	
3485.281249	-0.627742	
3485.282850	-0.613857	
3485.284518	-0.670757	
3485.286080	-0.644037	
3485.287778	-0.708953	
3485.289335	-0.679377	
3485.291039	-0.738888	
3485.292595	-0.734400	
3485.294292	-0.780379	
3485.295835	-0.772613	
3485.297575	-0.814652	
3485.299082	-0.820352	
3485.300833	-0.850275	
3485.302322	-0.882791	
3485.304101	-0.878127	
3485.305584	-0.894300	
3485.307349	-0.942161	
3485.308836	-0.958645	
3485.310612	-0.978436	
3485.312098	-1.011395	
3485.313865	-1.030518	
3485.315355	-1.045274	
3485.317107	-1.056996	
3485.318627	-1.089513	
3485.320350	-1.083627	
3485.321877	-1.124627	
3485.323572	-1.145466	
3485.325127	-1.193439	
3485.326832	-1.181652	
3485.328388	-1.253997	
3485.330079	-1.219309	
3485.331634	-1.277220	
3485.333300	-1.257123	
3485.334870	-1.312992	
3485.336527	-1.287662	
3485.338122	-1.318116	
3485.339758	-1.313314	
3485.341385	-1.394054	
3485.342907	-1.381505	
3485.344540	-1.402682	
3485.346019	-1.416785	
3485.347645	-1.421607	
3485.349124	-1.452380	
3485.350757	-1.413728	
3485.352261	-1.468296	
3485.353886	-1.457314	
3485.355402	-1.476187	
3485.357065	-1.459731	
3485.358575	-1.498415	
3485.360223	-1.468614	
3485.361761	-1.526267	
3485.363386	-1.503495	
3485.364970	-1.538562	
3485.366549	-1.491060	
3485.368164	-1.519810	
3485.369702	-1.507962	
3485.371335	-1.551307	
3485.372936	-1.490093	
3485.374625	-1.554167	
3485.376230	-1.500135	
3485.377892	-1.538195	
3485.379488	-1.496945	
3485.381157	-1.523137	
3485.382747	-1.504776	
3485.384449	-1.543996	
3485.386013	-1.480030	
3485.387722	-1.508514	
3485.389274	-1.479571	
3485.390978	-1.483217	
3485.392532	-1.464114	
3485.394238	-1.481251	
3485.395745	-1.453218	
3485.397508	-1.436214	
3485.398991	-1.413245	
3485.400771	-1.413748	
3485.402252	-1.397929	
3485.404022	-1.394231	
3485.405514	-1.377916	
3485.407263	-1.360095	
3485.408754	-1.339369	
3485.410534	-1.310869	
3485.412033	-1.296886	
3485.413781	-1.262460	
3485.415291	-1.251024	
3485.417033	-1.208525	
3485.418558	-1.207095	
3485.420269	-1.151859	
3485.421810	-1.143278	
3485.423512	-1.082137	
3485.425063	-1.098109	
3485.426762	-1.032395	
3485.428325	-1.049109	
3485.429995	-0.970246	
3485.431575	-0.966290	
3485.433218	-0.898357	
3485.434813	-0.908564	
3485.436440	-0.839886	
3485.438065	-0.822673	
3485.439689	-0.755380	
3485.441350	-0.772266	
3485.442841	-0.735234	
3485.444478	-0.676577	
3485.445971	-0.667985	
3485.447618	-0.623573	
3485.449103	-0.564316	
3485.450746	-0.533077	
3485.452240	-0.520210	
3485.453871	-0.442798	
3485.455369	-0.426201	
3485.456947	-0.386434	
3485.458485	-0.378857	
3485.460116	-0.316490	
3485.461676	-0.310355	
3485.463271	-0.249016	
3485.464888	-0.250667	
3485.466453	-0.162798	
3485.468081	-0.160264	
3485.469617	-0.086771	
3485.471305	-0.074235	
3485.472907	-0.000843	
3485.474556	-0.002482	
3485.476151	0.076283	
3485.477824	0.070120	
3485.479403	0.142424	
3485.481111	0.125852	
3485.482676	0.199977	
3485.484398	0.222455	
3485.485952	0.277474	
3485.487665	0.299283	
3485.489207	0.337943	
3485.490929	0.331973	
3485.492437	0.383129	
3485.494196	0.412567	
3485.495680	0.451352	
3485.497452	0.454998	
3485.498930	0.490963	
3485.500725	0.533856	
3485.502217	0.571062	
3485.503989	0.582224	
3485.505477	0.616372	
3485.507260	0.626930	
3485.508738	0.640667	
3485.510500	0.696427	
3485.511999	0.710776	
3485.513759	0.740662	
3485.515278	0.758999	
3485.517004	0.792482	
3485.518530	0.783975	
3485.520264	0.846522	
3485.521809	0.834651	
3485.523523	0.886060	
3485.525075	0.892530	
3485.526764	0.932479	
3485.528328	0.906492	
3485.530012	0.969898	
3485.531579	0.963428	
3485.533230	1.008078	
3485.534823	0.981060	
3485.536467	1.052627	
3485.538058	1.036566	
3485.539685	1.097124	
3485.541301	1.049912	
3485.542928	1.114607	
3485.544590	1.083134	
3485.546068	1.086610	
3485.547658	1.122124	
3485.549140	1.113266	
3485.550770	1.149851	
3485.552251	1.146628	
3485.553904	1.179761	
3485.555391	1.179270	
3485.556982	1.189244	
3485.558534	1.186899	
3485.560080	1.198154	
3485.561674	1.207794	
3485.563271	1.215089	
3485.564874	1.184921	
3485.566439	1.216443	
3485.568060	1.189083	
3485.569596	1.240033	
3485.571270	1.182053	
3485.572867	1.220910	
3485.574513	1.168172	
3485.576091	1.214308	
3485.577781	1.174113	
3485.579336	1.192950	
3485.581040	1.155519	
3485.582581	1.182367	
3485.584276	1.139381	
3485.585816	1.148235	
3485.587534	1.145033	
3485.589051	1.145540	
3485.590815	1.101664	
3485.592297	1.094735	
3485.594091	1.081321	
3485.595574	1.058041	
3485.597345	1.038435	
3485.598825	1.029589	
3485.600601	1.015486	
3485.602079	1.015639	
3485.603852	0.985028	
3485.605352	0.971682	
3485.607097	0.947420	
3485.608605	0.901565	
3485.610345	0.907737	
3485.611871	0.882898	
3485.613595	0.877963	
3485.615126	0.812354	
3485.616854	0.852351	
3485.618409	0.777030	
3485.620110	0.806219	
3485.621660	0.723062	
3485.623359	0.765682	
3485.624933	0.695912	
3485.626598	0.735723	
3485.628181	0.665905	
3485.629836	0.683492	
3485.631446	0.630044	
3485.633086	0.657368	
3485.634694	0.623881	
3485.636326	0.635559	
3485.637948	0.562655	
3485.639575	0.586736	
3485.641258	0.518005	
3485.642849	0.550179	
3485.644529	0.493932	
3485.646109	0.508856	
3485.647777	0.456251	
3485.649253	0.467486	
3485.650827	0.440544	
3485.652332	0.401232	
3485.653967	0.433072	
3485.655468	0.450796	
3485.657063	0.385356	
3485.658601	0.384321	
3485.660150	0.369082	
3485.661724	0.316601	
3485.663341	0.353319	
3485.664907	0.324803	
3485.666486	0.332424	
3485.668087	0.306151	
3485.669633	0.334809	
3485.671305	0.293668	
3485.672797	0.303013	
3485.674532	0.239881	
3485.676008	0.265328	
