crossing time (s)	slope (V/s)	crossing number
3302.425948	24.372456	2004
3303.446557	22.951481	2005
3304.488402	23.882432	2006
3305.510665	22.127362	2007
3306.593188	21.141059	2008
3307.598468	20.796025	2009
3308.666416	19.717282	2010
3309.666570	18.773032	2011
3310.720218	19.527950	2012
3311.742780	16.742192	2013
3312.786135	17.643280	2014
3313.826905	17.078043	2015
3314.849475	17.830891	2016
3315.903502	16.396553	2017
3316.919024	14.829017	2018
3317.976698	14.882866	2019
3319.014815	15.126990	2020
3320.012898	13.541740	2021
3321.089157	14.317771	2022
3322.096864	13.709883	2023
3323.153501	13.979473	2024
3324.173486	11.742227	2025
3325.221171	12.565818	2026
3326.254890	11.328470	2027
3327.285961	12.017324	2028
3328.346426	10.990428	2029
3329.345273	10.450701	2030
3330.399123	10.353263	2031
3331.429207	10.927589	2032
3332.470115	9.415297	2033
3333.506430	9.951423	2034
3334.547458	8.810068	2035
3335.587842	8.922864	2036
3336.599791	7.826767	2037
3337.661167	8.714485	2038
3338.671418	8.877105	2039
3339.740224	7.571177	2040
3340.733181	7.900153	2041
3341.820633	7.022868	2042
3342.839547	7.054915	2043
3343.880060	7.691954	2044
3344.910168	7.252322	2045
3345.942953	6.421225	2046
3346.982703	6.381317	2047
3348.002994	6.440472	2048
3349.063072	5.498521	2049
3350.070472	4.383603	2050
3351.151922	5.853050	2051
3352.142145	5.223982	2052
3353.228167	4.751089	2053
3354.238098	4.435224	2054
3355.266636	5.310975	2055
3356.282755	5.592371	2056
3357.342739	4.307065	2057
3358.375667	4.788014	2058
3359.425158	4.323573	2059
3360.452016	4.529904	2060
3361.452570	3.844595	2061
3362.555203	3.687313	2062
3363.554036	3.023265	2063
3364.626847	3.087271	2064
3365.611563	3.219711	2065
3366.721221	3.298558	2066
3367.696106	2.290276	2067
3368.781602	2.823543	2068
3369.743208	3.825812	2069
3370.832348	3.126084	2070
3371.876823	3.215022	2071
3372.880253	2.730318	2072
3373.949315	2.510662	2073
