time (s)	det(V)
3633.612145	-0.106288	
3633.613690	-0.126188	
3633.615420	-0.109233	
3633.616965	-0.125310	
3633.618661	-0.105599	
3633.620236	-0.155482	
3633.621725	-0.156195	
3633.623384	-0.136565	
3633.624877	-0.117729	
3633.626516	-0.155401	
3633.628042	-0.099311	
3633.629683	-0.119723	
3633.631161	-0.140114	
3633.632816	-0.144964	
3633.634301	-0.149174	
3633.636005	-0.138015	
3633.637490	-0.139208	
3633.639183	-0.120899	
3633.640669	-0.167043	
3633.642371	-0.109495	
3633.643881	-0.140904	
3633.645547	-0.093764	
3633.647065	-0.135030	
3633.648712	-0.119364	
3633.650262	-0.155982	
3633.651961	-0.108081	
3633.653516	-0.131493	
3633.655195	-0.102659	
3633.656767	-0.146237	
3633.658441	-0.091259	
3633.660053	-0.139550	
3633.661720	-0.094485	
3633.663302	-0.143244	
3633.664960	-0.095931	
3633.666553	-0.143828	
3633.668185	-0.105785	
3633.669821	-0.148598	
3633.671419	-0.097934	
3633.673087	-0.160131	
3633.674658	-0.102111	
3633.676332	-0.114079	
3633.677899	-0.108971	
3633.679584	-0.134615	
3633.681146	-0.079472	
3633.682870	-0.118986	
3633.684405	-0.116689	
3633.686122	-0.142342	
3633.687648	-0.114232	
3633.689388	-0.131091	
3633.690892	-0.100141	
3633.692653	-0.138781	
3633.694140	-0.109845	
3633.695920	-0.111227	
3633.697408	-0.111739	
3633.699182	-0.117318	
3633.700668	-0.123384	
3633.702452	-0.118123	
3633.703939	-0.128750	
3633.705699	-0.124383	
3633.707199	-0.117237	
3633.708944	-0.112979	
3633.710466	-0.124935	
3633.712204	-0.117406	
3633.713719	-0.134253	
3633.715433	-0.113664	
3633.716965	-0.164542	
3633.718666	-0.110925	
3633.720212	-0.159043	
3633.721877	-0.111122	
3633.723482	-0.150048	
3633.724973	-0.129737	
3633.726600	-0.173368	
3633.728117	-0.097277	
3633.729755	-0.095718	
3633.731233	-0.124275	
3633.732877	-0.140340	
3633.734354	-0.149154	
3633.736008	-0.141826	
3633.737500	-0.171309	
3633.739202	-0.136714	
3633.740700	-0.151744	
3633.742406	-0.127473	
3633.743895	-0.150350	
3633.745578	-0.108629	
3633.747086	-0.149266	
3633.748738	-0.132247	
3633.750273	-0.163144	
3633.751890	-0.135945	
3633.753468	-0.172812	
3633.755172	-0.119642	
3633.756754	-0.147151	
3633.758415	-0.119646	
3633.760010	-0.174222	
3633.761663	-0.103605	
3633.763263	-0.142366	
3633.764892	-0.107291	
3633.766504	-0.178802	
3633.768125	-0.110006	
3633.769808	-0.170467	
3633.771394	-0.126003	
3633.773063	-0.155321	
3633.774663	-0.114413	
3633.776324	-0.164929	
3633.777915	-0.121096	
3633.779604	-0.138523	
3633.781158	-0.118176	
3633.782872	-0.156106	
3633.784412	-0.130837	
3633.786095	-0.154592	
3633.787621	-0.124645	
3633.789346	-0.135381	
3633.790840	-0.136517	
3633.792602	-0.139731	
3633.794095	-0.130869	
3633.795891	-0.123179	
3633.797369	-0.130373	
3633.799160	-0.149093	
3633.800635	-0.150310	
3633.802410	-0.145234	
3633.803893	-0.163333	
3633.805662	-0.133447	
3633.807171	-0.154004	
3633.808926	-0.140948	
3633.810433	-0.150535	
3633.812167	-0.134998	
3633.813700	-0.153085	
3633.815414	-0.150346	
3633.816957	-0.196220	
3633.818663	-0.141024	
3633.820221	-0.176876	
3633.821934	-0.140630	
3633.823511	-0.208056	
3633.825002	-0.170202	
3633.826666	-0.190738	
3633.828173	-0.142745	
3633.829823	-0.170612	
3633.831324	-0.165654	
3633.832970	-0.185292	
3633.834461	-0.180530	
3633.836109	-0.176220	
3633.837589	-0.221446	
3633.839216	-0.195080	
3633.840700	-0.184844	
3633.842405	-0.178774	
3633.843882	-0.196579	
